keyword,count
engagement,213
knowledge,178
student,154
action,129
participant,127
educational,126
energy,125
httpsd,122
environment,121
oio,119
outcome,112
goal,111
gamebased,105
group,97
climate,90
technology,87
use,86
attitude,86
potential,85
element,81
role,78
simulation,78
awareness,76
work,69
practice,67
individual,67
information,66
virtual,65
decision,65
gamified,64
influence,64
complex,62
one,62
sdg,62
thinking,61
question,61
time,61
business,60
perspective,60
significant,60
higher,59
systematic,57
related,57
specific,57
collaborative,57
intention,57
skill,55
urban,55
computer,54
effective,53
resource,53
hope,53
attitudinal,53
sdgs,52
concept,51
longterm,51
feedback,50
consumption,50
building,49
promote,48
theory,48
provide,47
engage,47
could,47
water,47
feature,47
play,46
control,46
insight,45
researcher,45
like,45
experimental,45
found,44
various,44
support,44
octalysis,44
often,43
three,42
int,42
develop,41
among,41
survey,41
meaningful,41
hamari,41
agency,41
offer,40
critical,40
evaluation,40
address,40
two,40
mechanic,40
city,40
realworld,39
seed,39
towards,38
opportunity,38
pathway,38
cid,38
function,38
diverse,37
aim,37
show,37
objective,37
activity,37
understand,37
engaging,37
httpsdoiorgs,37
interactive,36
community,36
aspect,36
help,35
promoting,35
increase,35
point,35
make,35
life,35
collaboration,35
real,35
implementation,34
solution,34
type,33
nature,33
high,33
proenvironmental,33
engineering,33
human,33
production,33
others,33
limited,32
empirical,32
conducted,32
apps,32
limitation,32
designed,32
world,32
source,32
foster,31
made,31
health,31
proceeding,31
ability,30
explore,30
problem,30
mechanism,30
joanna,30
theoretical,29
addressing,29
particularly,29
contribute,29
dynamic,29
content,29
reality,29
way,29
create,29
term,28
immersive,28
providing,28
quantitative,28
theme,28
conservation,28
interest,27
waste,27
gain,27
current,27
beyond,27
many,27
choice,27
played,27
performance,27
identify,26
following,26
importance,26
global,26
developing,26
first,26
elearning,26
participation,26
must,26
multiple,26
interview,26
river,26
cog,26
ijrel,26
regarding,25
toward,25
including,25
effort,25
narrative,25
target,25
set,25
power,25
beh,25
setting,24
balance,24
making,24
ese,24
traditional,23
broader,23
emerging,23
school,23
developed,23
positive,23
ensure,23
assessment,23
supporting,23
communication,23
dgbl,23
innovation,22
primary,22
relationship,22
active,22
several,22
contribution,22
form,22
video,22
ethical,22
park,22
growing,21
mobile,21
lack,21
well,21
principle,21
similar,21
even,21
present,21
academic,21
consequence,21
consideration,21
encourage,21
experiment,21
emotional,21
mixed,21
gameful,21
possible,21
snyder,21
appendix,21
aff,21
effectively,20
existing,20
improvement,20
planning,20
ass,20
innovative,20
strategic,20
achieve,20
friendly,20
correlation,20
discover,20
ahmadov,19
medium,19
despite,19
cation,19
society,19
integrating,19
concern,19
highlight,19
increased,19
evidence,19
overall,19
sense,19
reported,19
psychology,19
face,19
task,19
doe,19
educ,19
said,19
motivated,19
diagram,19
wójcik,19
świętoniowska,19
jakieła,19
quality,18
increasing,18
moreover,18
emerged,18
addressed,18
con,18
green,18
think,18
team,18
another,18
encouraging,18
relation,18
marketing,18
feel,18
educator,17
successful,17
examining,17
phase,17
search,17
progress,17
ing,17
deeper,17
facilitate,17
distinct,17
economy,17
reflection,17
applying,17
part,17
cleaner,17
whether,17
goalsetting,17
act,17
mabalay,17
sci,17
organization,16
direction,16
emphasizing,16
purpose,16
capacity,16
significantly,16
rather,16
provides,16
augmented,16
employed,16
given,16
addition,16
ecological,16
enabling,16
structured,16
structure,16
include,16
challenging,16
achieving,16
attention,16
navigate,16
interdisciplinary,16
lead,16
risk,16
ieee,16
mobility,16
mean,16
instruction,16
huang,16
score,16
much,16
café,16
ranking,16
keywords,15
stanitsas,15
common,15
promising,15
improve,15
natural,15
recent,15
actionable,15
edu,15
pedagogy,15
guiding,15
thematic,15
main,15
shared,15
benefit,15
period,15
affect,15
take,15
responsible,15
implication,15
implementing,15
circular,15
taking,15
transition,15
httpsdoiorgj,15
according,15
still,15
happiness,15
koivisto,15
stream,15
jacek,15
necessary,14
generation,14
specifically,14
tan,14
inclusion,14
selected,14
investigation,14
advance,14
mentioned,14
additionally,14
allowing,14
problemsolving,14
without,14
personal,14
initiative,14
together,14
scale,14
tourism,14
european,14
connection,14
plssem,14
citizen,14
clark,14
food,14
valuable,13
interconnected,13
low,13
brauer,13
general,13
step,13
adaptive,13
proposed,13
identifying,13
confidence,13
guideline,13
criterion,13
discussed,13
characteristic,13
similarly,13
roleplaying,13
realtime,13
liu,13
response,13
alternative,13
product,13
recycling,13
success,13
integrated,13
frequently,13
motivate,13
around,13
policy,13
definition,13
evaluating,13
consumer,13
household,13
envision,13
analyze,13
cocreation,13
los,13
view,12
explores,12
foundation,12
distribution,12
scientific,12
mental,12
ment,12
program,12
initial,12
allowed,12
cooperation,12
agenda,12
along,12
build,12
consider,12
helping,12
involved,12
incorporate,12
actively,12
age,12
reference,12
analyzing,12
applied,12
belief,12
seriouscomputer,12
eco,12
clean,12
reward,12
hassan,12
feeling,12
serve,12
unesco,12
showing,12
needed,12
connect,12
driver,12
strongly,12
reduction,12
cruz,12
generations…,12
para,12
condition,11
integrate,11
compared,11
format,11
instructional,11
douglas,11
explored,11
aimed,11
idea,11
shift,11
longitudinal,11
ity,11
established,11
noted,11
population,11
assessed,11
efficiency,11
analyzed,11
holistic,11
list,11
knol,11
vries,11
since,11
combine,11
constraint,11
allows,11
emphasis,11
fuel,11
societal,11
curiosity,11
child,11
young,11
long,11
map,11
comparison,11
strong,11
questionnaire,11
find,11
motivating,11
concrete,11
gender,11
plano,11
monitor,11
ali,11
ave,11
reject,11
chou,11
accomplishment,11
metric,11
mulcahy,11
gbl,11
governance,10
landscape,10
reveal,10
hallinger,10
creative,10
body,10
efficacy,10
leverage,10
previous,10
category,10
demand,10
collection,10
note,10
den,10
flood,10
practitioner,10
share,10
descriptive,10
simulate,10
central,10
harkerschuch,10
simulated,10
manufacturing,10
variable,10
discus,10
material,10
immediate,10
considering,10
negative,10
meet,10
description,10
suggest,10
facilitating,10
secondly,10
cluster,10
ownership,10
