keyword,total_count,doc_freq,df_ratio,tfidf
agency,41,3,0.43,34.7392
sdg,62,4,0.57,34.6962
pathway,38,3,0.43,32.1973
sdgs,52,4,0.57,29.1000
energy,125,6,0.86,19.2688
ethical,22,3,0.43,18.6406
urban,55,5,0.71,18.5060
friendly,20,3,0.43,16.9460
water,47,5,0.71,15.8142
augmented,16,3,0.43,13.5568
mobility,16,3,0.43,13.5568
circular,15,3,0.43,12.7095
tourism,14,3,0.43,11.8622
food,14,3,0.43,11.8622
consumer,13,3,0.43,11.0149
apps,32,5,0.71,10.7671
belief,12,3,0.43,10.1676
clean,12,3,0.43,10.1676
unesco,12,3,0.43,10.1676
showing,12,3,0.43,10.1676
driver,12,3,0.43,10.1676
