Query Keyword,GenreId,Query Subgenre,API Results (raw),Passed Language Filter,Passed PrimaryGenre Filter (Games),Unique Added,Duplicates Skipped
sustainability,6014,Games (primary),110,108,0,0,0
sustainability,7001,Action,110,108,0,0,0
sustainability,7002,Adventure,110,108,0,0,0
sustainability,7003,Arcade,110,108,0,0,0
sustainability,7004,Board,110,108,0,0,0
sustainability,7005,Card,110,108,0,0,0
sustainability,7006,Casino,110,108,0,0,0
sustainability,7007,Dice,110,108,0,0,0
sustainability,7008,Educational,110,108,0,0,0
sustainability,7009,Family,110,108,0,0,0
sustainability,7010,Kids,110,108,0,0,0
sustainability,7011,Music,110,108,0,0,0
sustainability,7012,Puzzle,110,108,0,0,0
sustainability,7013,Racing,110,108,0,0,0
sustainability,7014,Role Playing,110,108,0,0,0
sustainability,7015,Simulation,110,108,0,0,0
sustainability,7016,Sports,110,108,0,0,0
sustainability,7017,Strategy,110,108,0,0,0
sustainability,7018,Trivia,110,108,0,0,0
sustainability,7019,Word,110,108,0,0,0
sustainable,6014,Games (primary),135,132,1,1,0
sustainable,7001,Action,135,132,1,0,1
sustainable,7002,Adventure,135,132,1,0,1
sustainable,7003,Arcade,135,132,1,0,1
sustainable,7004,Board,135,132,1,0,1
sustainable,7005,Card,135,132,1,0,1
sustainable,7006,Casino,135,132,1,0,1
sustainable,7007,Dice,135,132,1,0,1
sustainable,7008,Educational,135,132,1,0,1
sustainable,7009,Family,135,132,1,0,1
sustainable,7010,Kids,135,132,1,0,1
sustainable,7011,Music,135,132,1,0,1
sustainable,7012,Puzzle,135,132,1,0,1
sustainable,7013,Racing,135,132,1,0,1
sustainable,7014,Role Playing,135,132,1,0,1
sustainable,7015,Simulation,135,132,1,0,1
sustainable,7016,Sports,135,132,1,0,1
sustainable,7017,Strategy,135,132,1,0,1
sustainable,7018,Trivia,135,132,1,0,1
sustainable,7019,Word,135,132,1,0,1
environment,6014,Games (primary),131,129,2,2,0
environment,7001,Action,131,129,2,0,2
environment,7002,Adventure,131,129,2,0,2
environment,7003,Arcade,131,129,2,0,2
environment,7004,Board,131,129,2,0,2
environment,7005,Card,131,129,2,0,2
environment,7006,Casino,131,129,2,0,2
environment,7007,Dice,131,129,2,0,2
environment,7008,Educational,131,129,2,0,2
environment,7009,Family,131,129,2,0,2
environment,7010,Kids,131,129,2,0,2
environment,7011,Music,131,129,2,0,2
environment,7012,Puzzle,131,129,2,0,2
environment,7013,Racing,131,129,2,0,2
environment,7014,Role Playing,131,129,2,0,2
environment,7015,Simulation,131,129,2,0,2
environment,7016,Sports,131,129,2,0,2
environment,7017,Strategy,131,129,2,0,2
